pair,i,j,label,status,ordered_codes,ordered_labels,is_diagonal,is_conflict,is_reverse_missing
00,0,0,*,pure,00,*,True,False,False
01,0,1,N,pure,01|10,N|N,False,False,False
02,0,2,R,pure,02|20,R|R,False,False,False
03,0,3,V,pure,03|30,V|V,False,False,False
04,0,4,F,pure,04|40,F|F,False,False,False
05,0,5,T,pure,05|50,T|T,False,False,False
06,0,6,I,pure,06|60,I|I,False,False,False
07,0,7,I,pure,07|70,I|I,False,False,False
08,0,8,I,pure,08|80,I|I,False,False,False
09,0,9,T,pure,09|90,T|T,False,False,False
11,1,1,E,pure,11,E,True,False,False
12,1,2,F,pure,12|21,F|F,False,False,False
13,1,3,N,pure,13|31,N|N,False,False,False
14,1,4,A,pure,14|41,A|A,False,False,False
15,1,5,E,pure,15|51,E|E,False,False,False
16,1,6,T,pure,16|61,T|T,False,False,False
17,1,7,V,pure,17|71,V|V,False,False,False
18,1,8,I,pure,18|81,I|I,False,False,False
19,1,9,I/N,conflict,19|91,I|N,False,True,False
22,2,2,A,pure,22,A,True,False,False
23,2,3,O,pure,23|32,O|O,False,False,False
24,2,4,L,pure,24|42,L|L,False,False,False
25,2,5,I,pure,25|52,I|I,False,False,False
26,2,6,N,pure,26|62,N|N,False,False,False
27,2,7,S,pure,27|72,S|S,False,False,False
28,2,8,T,pure,28|82,T|T,False,False,False
29,2,9,N,pure,29|92,N|N,False,False,False
33,3,3,E,pure,33,E,True,False,False
34,3,4,B,pure,34|43,B|B,False,False,False
35,3,5,L,pure,35|53,L|L,False,False,False
36,3,6,V,pure,36|63,V|V,False,False,False
37,3,7,A,pure,37|73,A|A,False,False,False
38,3,8,T,pure,38|83,T|T,False,False,False
39,3,9,N,reverse_missing,93,N,False,False,True
44,4,4,E,pure,44,E,True,False,False
45,4,5,F,pure,45|54,F|F,False,False,False
46,4,6,N,pure,46|64,N|N,False,False,False
47,4,7,E,pure,47|74,E|E,False,False,False
48,4,8,E,pure,48|84,E|E,False,False,False
49,4,9,N,pure,49|94,N|N,False,False,False
55,5,5,V,pure,55,V,True,False,False
56,5,6,I,pure,56|65,I|I,False,False,False
57,5,7,E,pure,57|75,E|E,False,False,False
58,5,8,E,pure,58|85,E|E,False,False,False
59,5,9,I,pure,59|95,I|I,False,False,False
66,6,6,E,pure,66,E,True,False,False
67,6,7,A,pure,67|76,A|A,False,False,False
68,6,8,C,pure,68|86,C|C,False,False,False
69,6,9,V,pure,69|96,V|V,False,False,False
77,7,7,N,pure,77,N,True,False,False
78,7,8,E,pure,78|87,E|E,False,False,False
79,7,9,A,pure,79|97,A|A,False,False,False
88,8,8,A,pure,88,A,True,False,False
89,8,9,T,pure,89|98,T|T,False,False,False
99,9,9,E,pure,99,E,True,False,False
